PrYVO_05,intensity,PrYVO_05_90,intensity
12.24508703,2626,12.24508703,2696
12.2713476,2641,12.2713476,2769
12.29760817,2689,12.29760817,2787
12.32386874,2606,12.32386874,2771
12.35012931,2548,12.35012931,2691
12.37638988,2570,12.37638988,2668
12.40265045,2575,12.40265045,2675
12.42891102,2708,12.42891102,2737
12.45517159,2683,12.45517159,2704
12.48143216,2558,12.48143216,2605
12.50769273,2617,12.50769273,2641
12.5339533,2612,12.5339533,2683
12.56021387,2471,12.56021387,2703
12.58647444,2599,12.58647444,2664
12.61273501,2544,12.61273501,2663
12.63899558,2767,12.63899558,2685
12.66525615,2640,12.66525615,2697
12.69151672,2623,12.69151672,2642
12.71777729,2554,12.71777729,2765
12.74403786,2527,12.74403786,2790
12.77029843,2573,12.77029843,2688
12.796559,2513,12.796559,2663
12.82281957,2518,12.82281957,2663
12.84908014,2602,12.84908014,2782
12.87534071,2627,12.87534071,2635
12.90160128,2584,12.90160128,2594
12.92786185,2570,12.92786185,2556
12.95412242,2559,12.95412242,2631
12.98038299,2539,12.98038299,2580
13.00664356,2484,13.00664356,2570
13.03290413,2536,13.03290413,2599
13.0591647,2507,13.0591647,2710
13.08542527,2398,13.08542527,2585
13.11168584,2537,13.11168584,2527
13.13794641,2498,13.13794641,2598
13.16420698,2547,13.16420698,2555
13.19046755,2541,13.19046755,2576
13.21672812,2474,13.21672812,2589
13.24298869,2459,13.24298869,2557
13.26924926,2485,13.26924926,2560
13.29550983,2475,13.29550983,2529
13.3217704,2519,13.3217704,2559
13.34803097,2520,13.34803097,2570
13.37429154,2391,13.37429154,2517
13.40055211,2504,13.40055211,2586
13.42681268,2375,13.42681268,2551
13.45307325,2419,13.45307325,2490
13.47933382,2382,13.47933382,2561
13.50559439,2449,13.50559439,2483
13.53185496,2497,13.53185496,2461
13.55811553,2362,13.55811553,2515
13.5843761,2445,13.5843761,2473
13.61063667,2384,13.61063667,2449
13.63689724,2446,13.63689724,2499
13.66315781,2430,13.66315781,2408
13.68941838,2373,13.68941838,2405
13.71567895,2383,13.71567895,2426
13.74193952,2395,13.74193952,2469
13.76820009,2336,13.76820009,2404
13.79446066,2308,13.79446066,2500
13.82072123,2433,13.82072123,2428
13.8469818,2469,13.8469818,2393
13.87324237,2376,13.87324237,2384
13.89950294,2285,13.89950294,2476
13.92576351,2317,13.92576351,2313
13.95202408,2343,13.95202408,2349
13.97828465,2341,13.97828465,2374
14.00454522,2389,14.00454522,2386
14.03080579,2302,14.03080579,2368
14.05706636,2330,14.05706636,2346
14.08332693,2370,14.08332693,2315
14.1095875,2287,14.1095875,2412
14.13584807,2399,14.13584807,2256
14.16210864,2358,14.16210864,2371
14.18836921,2339,14.18836921,2314
14.21462978,2292,14.21462978,2392
14.24089035,2270,14.24089035,2433
14.26715092,2294,14.26715092,2351
14.29341149,2347,14.29341149,2350
14.31967206,2293,14.31967206,2265
14.34593263,2276,14.34593263,2334
14.3721932,2251,14.3721932,2231
14.39845377,2309,14.39845377,2288
14.42471434,2242,14.42471434,2392
14.45097491,2200,14.45097491,2383
14.47723548,2238,14.47723548,2243
14.50349605,2250,14.50349605,2335
14.52975662,2228,14.52975662,2300
14.55601719,2178,14.55601719,2331
14.58227776,2260,14.58227776,2315
14.60853833,2195,14.60853833,2262
14.6347989,2207,14.6347989,2296
14.66105947,2154,14.66105947,2239
14.68732004,2140,14.68732004,2245
14.71358061,2136,14.71358061,2312
14.73984118,2201,14.73984118,2310
14.76610175,2193,14.76610175,2241
14.79236232,2168,14.79236232,2271
14.81862289,2242,14.81862289,2262
14.84488346,2237,14.84488346,2306
14.87114403,2165,14.87114403,2283
14.8974046,2170,14.8974046,2211
14.92366517,2157,14.92366517,2189
14.94992574,2118,14.94992574,2281
14.97618631,2077,14.97618631,2222
15.00244688,2116,15.00244688,2273
15.02870745,2080,15.02870745,2206
15.05496802,2056,15.05496802,2242
15.08122859,2086,15.08122859,2269
15.10748916,2215,15.10748916,2174
15.13374973,2150,15.13374973,2192
15.1600103,2061,15.1600103,2173
15.18627087,2190,15.18627087,2186
15.21253144,2209,15.21253144,2241
15.23879201,2135,15.23879201,2152
15.26505258,2054,15.26505258,2235
15.29131315,2107,15.29131315,2173
15.31757372,2087,15.31757372,2235
15.34383429,2144,15.34383429,2158
15.37009486,2116,15.37009486,2208
15.39635543,2089,15.39635543,2171
15.422616,2111,15.422616,2159
15.44887657,2013,15.44887657,2144
15.47513714,2107,15.47513714,2184
15.50139771,2062,15.50139771,2104
15.52765828,2005,15.52765828,2149
15.55391885,2085,15.55391885,2201
15.58017942,1965,15.58017942,2219
15.60643999,1984,15.60643999,2084
15.63270056,2029,15.63270056,2089
15.65896113,2002,15.65896113,2126
15.6852217,2082,15.6852217,2188
15.71148227,2103,15.71148227,2016
15.73774284,1998,15.73774284,2035
15.76400341,2043,15.76400341,2129
15.79026398,2023,15.79026398,2108
15.81652455,2019,15.81652455,2073
15.84278512,1990,15.84278512,2037
15.86904569,1977,15.86904569,2099
15.89530626,1944,15.89530626,2119
15.92156683,1952,15.92156683,2045
15.9478274,1991,15.9478274,2055
15.97408797,1945,15.97408797,2033
16.00034854,1984,16.00034854,2076
16.02660911,1985,16.02660911,1981
16.05286968,1956,16.05286968,2060
16.07913025,1952,16.07913025,2081
16.10539082,1975,16.10539082,2084
16.13165139,1985,16.13165139,2089
16.15791196,1973,16.15791196,2017
16.18417253,2040,16.18417253,2077
16.2104331,1931,16.2104331,2076
16.23669367,1946,16.23669367,2007
16.26295424,2009,16.26295424,2082
16.28921481,1941,16.28921481,1996
16.31547538,1802,16.31547538,1950
16.34173595,1893,16.34173595,2116
16.36799652,1994,16.36799652,1973
16.39425709,1862,16.39425709,2089
16.42051766,1945,16.42051766,2063
16.44677823,1904,16.44677823,2002
16.4730388,2002,16.4730388,2030
16.49929937,1888,16.49929937,2013
16.52555994,1850,16.52555994,1984
16.55182051,1911,16.55182051,1979
16.57808108,1885,16.57808108,1893
16.60434165,1938,16.60434165,1912
16.63060222,1874,16.63060222,1962
16.65686279,1943,16.65686279,1929
16.68312336,1941,16.68312336,1997
16.70938393,1888,16.70938393,2016
16.7356445,1854,16.7356445,2024
16.76190507,1869,16.76190507,2040
16.78816564,1944,16.78816564,1993
16.81442621,1904,16.81442621,1917
16.84068678,1810,16.84068678,1950
16.86694735,1883,16.86694735,1925
16.89320792,1810,16.89320792,1893
16.91946849,1946,16.91946849,1964
16.94572906,1807,16.94572906,2031
16.97198963,1926,16.97198963,1953
16.9982502,1803,16.9982502,1902
17.02451077,1843,17.02451077,1961
17.05077134,1854,17.05077134,1950
17.07703191,1876,17.07703191,1979
17.10329248,1876,17.10329248,2025
17.12955305,1767,17.12955305,2041
17.15581362,1898,17.15581362,1938
17.18207419,1808,17.18207419,1973
17.20833476,1758,17.20833476,1971
17.23459533,1854,17.23459533,1944
17.2608559,1827,17.2608559,1910
17.28711647,1805,17.28711647,1974
17.31337704,1806,17.31337704,2005
17.33963761,1869,17.33963761,1941
17.36589818,1782,17.36589818,2062
17.39215875,1793,17.39215875,1993
17.41841932,1746,17.41841932,1789
17.44467989,1810,17.44467989,1923
17.47094046,1821,17.47094046,1928
17.49720103,1783,17.49720103,1884
17.5234616,1756,17.5234616,1904
17.54972217,1923,17.54972217,1861
17.57598274,1768,17.57598274,1864
17.60224331,1721,17.60224331,1921
17.62850388,1786,17.62850388,1874
17.65476445,1772,17.65476445,1954
17.68102502,1819,17.68102502,1786
17.70728559,1772,17.70728559,1984
17.73354616,1831,17.73354616,1958
17.75980673,1790,17.75980673,1863
17.7860673,1762,17.7860673,1845
17.81232787,1769,17.81232787,1923
17.83858844,1651,17.83858844,1887
17.86484901,1729,17.86484901,1902
17.89110958,1742,17.89110958,1921
17.91737015,1778,17.91737015,1839
17.94363072,1784,17.94363072,1833
17.96989129,1758,17.96989129,1868
17.99615186,1790,17.99615186,1904
18.02241243,1770,18.02241243,1815
18.048673,1644,18.048673,1749
18.07493357,1754,18.07493357,1849
18.10119414,1710,18.10119414,1860
18.12745471,1768,18.12745471,1874
18.15371528,1735,18.15371528,1788
18.17997585,1668,18.17997585,1991
18.20623642,1684,18.20623642,1901
18.23249699,1720,18.23249699,1847
18.25875756,1685,18.25875756,1896
18.28501813,1727,18.28501813,1798
18.3112787,1719,18.3112787,1851
18.33753927,1740,18.33753927,1829
18.36379984,1616,18.36379984,1871
18.39006041,1616,18.39006041,1841
18.41632098,1677,18.41632098,1845
18.44258155,1734,18.44258155,1804
18.46884212,1704,18.46884212,1818
18.49510269,1635,18.49510269,1798
18.52136326,1647,18.52136326,1785
18.54762383,1725,18.54762383,1807
18.5738844,1673,18.5738844,1773
18.60014497,1683,18.60014497,1795
18.62640554,1653,18.62640554,1799
18.65266611,1699,18.65266611,1868
18.67892668,1657,18.67892668,1766
18.70518725,1623,18.70518725,1848
18.73144782,1688,18.73144782,1840
18.75770839,1678,18.75770839,1814
18.78396896,1686,18.78396896,1829
18.81022953,1619,18.81022953,1797
18.8364901,1629,18.8364901,1828
18.86275067,1630,18.86275067,1797
18.88901124,1656,18.88901124,1807
18.91527181,1657,18.91527181,1849
18.94153238,1615,18.94153238,1831
18.96779295,1639,18.96779295,1752
18.99405352,1656,18.99405352,1752
